Function	Enzyme_EC	KO	gene	gene2	gene3
 dihydropyrimidinase 	3.5.2.2	K01464	DPYS	dht	
 dihydropyrimidinase 	3.5.2.2	K01464	DPYS	dht	
 dihydropyrimidinase 	3.5.2.2	K01464	DPYS	dht	
 dihydropyrimidinase-like 2		K07528	DPYSL2	CRMP2	
 dihydropyrimidinase-like 5		K07529	DPYSL5	CRAM	
 ATP-dependent RNA helicase DQX1 	3.6.4.13	K14433	DQX1		
 down-regulator of transcription 1		K21751	DR1	NC2-beta	
 ADP-ribosyl-	dinitrogen reductase hydrolase 	K05521	draG		
 DNA damage-regulated autophagy modulator protein 1		K21955	DRAM1		
 DNA damage-regulated autophagy modulator protein 2		K21956	DRAM2		
 Dr1-associated corepressor		K21752	DRAP1	NC2-alpha	
 NAD+---dinitrogen-reductase ADP-D-ribosyltransferase 	2.4.2.37	K05951	draT		
 dynein regulatry complex protein 1		K19754	DRC1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1		K04144	DRD1		
 dopamine receptor D1-like		K04148	DRD1N		
 dopamine receptor D1-like		K04148	DRD1N		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D2		K04145	DRD2		
 dopamine receptor D3		K04146	DRD3		
 dopamine receptor D3		K04146	DRD3		
 dopamine receptor D3		K04146	DRD3		
 dopamine receptor D4		K04147	DRD4		
 dopamine receptor D4		K04147	DRD4		
 dopamine receptor D4		K04147	DRD4		
 dopamine receptor D5		K05840	DRD5		
 dopamine receptor D5		K05840	DRD5		
 dopamine receptor D5		K05840	DRD5		
 dopamine receptor D5		K05840	DRD5		
 dopamine receptor D5		K05840	DRD5		
 E3 ubiquitin-protein ligase DRIP 	2.3.2.27	K16277	DRIP		
 drumstick		K22535	DRM		
 caspase Dronc 	3.4.22.-	K20009	DRONC		
 caspase Dronc 	3.4.22.-	K20009	DRONC		
 caspase Dronc 	3.4.22.-	K20009	DRONC		
 lactonase 	3.1.1.-	K02352	drp35		
 atrophin-1 (dentatorubral-pallidoluysian atrophy protein)		K05626	DRPLA		
 drosomycin		K20670	DRS		
 drosomycin		K20670	DRS		
 phospholipid-transporting ATPase 	7.6.2.1	K14802	DRS2	ATP8A	
 thiol:disulfide interchange protein DsbA		K03673	dsbA		
 thiol:disulfide interchange protein DsbA		K03673	dsbA		
 disulfide bond formation protein DsbB		K03611	dsbB		
 thiol:disulfide interchange protein DsbC 	5.3.4.1	K03981	dsbC		
 thiol:disulfide interchange protein DsbC 	5.3.4.1	K03981	dsbC		
 thiol:disulfide interchange protein DsbD 	1.8.1.8	K04084	dsbD		
 thiol:disulfide interchange protein DsbG		K03805	dsbG		
 desmocollin 1		K07600	DSC1		
 voltage-gated cation channel		K21862	DSC1	NaCP60E	
 desmocollin 2		K07601	DSC2		
 desmocollin 2		K07601	DSC2		
 desmocollin 2		K07601	DSC2		
 desmocollin 3		K07602	DSC3		
 Down syndrome cell adhesion molecule		K06767	DSCAM		
 Down syndrome cell adhesion molecule-like protein 1		K06768	DSCAML1		
 sister chromatid cohesion protein DCC1		K11271	DSCC1	DCC1	
 D-serine ammonia-lyase 	4.3.1.18	K20498	DSD1		
 D-serine dehydratase 	4.3.1.18	K01753	dsdA		
 LysR family transcriptional regulator, D-serine deaminase activator		K13636	dsdC		
 D-serine transporter		K13629	dsdX		
 chondroitin-glucuronate 5-epimerase 	5.1.3.19	K01794	DSE		
 desmoglein 1		K07596	DSG1		
 desmoglein 1		K07596	DSG1		
 desmoglein 2		K07597	DSG2		
 desmoglein 2		K07597	DSG2		
 desmoglein 3		K07598	DSG3		
 desmoglein 4		K07599	DSG4		
 kinetochore-associated protein DSN1		K11544	DSN1		
 desmoplakin		K10381	DSP		
 desmoplakin		K10381	DSP		
 desmoplakin		K10381	DSP		
 dermatan sulfate proteoglycan 3 (PG-Lb)		K08127	DSPG3		
 dissimilatory sulfite reductase alpha subunit 	1.8.99.5	K11180	dsrA		
 dissimilatory sulfite reductase alpha subunit 	1.8.99.5	K11180	dsrA		
 small regulatory RNA DsrA		K18502	dsrA		
 small regulatory RNA DsrA		K18502	dsrA		
 small regulatory RNA DsrA		K18502	dsrA		
 dissimilatory sulfite reductase beta subunit 	1.8.99.5	K11181	dsrB		
 dissimilatory sulfite reductase beta subunit 	1.8.99.5	K11181	dsrB		
 exoribonuclease II, mitochondrial 	3.1.13.1	K19782	DSS1	MSU1	
 dystonin		K10382	DST		
 destrin (actin-depolymerizing factor)		K10363	DSTN		
 dual serine/threonine and tyrosine protein kinase 	2.7.12.1	K16288	DSTYK	RIPK5	
 dibenzothiophene sulfone monooxygenase 	1.14.14.22	K22220	dszA		
 2'-hydroxybiphenyl-2-sulfinate desulfinase 	3.13.1.3	K05977	dszB		
 dibenzothiophene monooxygenase 	1.14.14.21	K22219	dszC		
 D-threonine aldolase 	4.1.2.42	K19967	dta		
 cembrene C/nephthenol synthase 	4.2.3.148 4.2.3.149	K20504	dtcycA		
 nephthenol/cembrene A/pentamethylcyclopentadecatrienol synthase 	4.2.3.149 4.2.3.150 4.2.3.151	K20505	dtcycB		
 D-aminoacyl-tRNA deacylase 	3.1.1.96	K07560	dtd	DTD	
 D-aminoacyl-tRNA deacylase 	3.1.1.96	K09716	dtdA	GEK1	
 threo-3-hydroxy-D-aspartate ammonia-lyase 	4.3.1.27	K20757	dthadh		
 D-threitol dehydrogenase (NAD+) 	1.1.1.403	K20900	dthD		
 denticleless		K11790	DTL	CDT2	
 dysbindin		K20189	DTNBP1	BLOC1S8	
 D-threonate/D-erythronate kinase 	2.7.1.219 2.7.1.220	K22129	dtnK	denK	
 ditryptophenaline biosynthesis cytochrome P450 monooxygenase		K21477	DTPC		
 deltex 	2.3.2.27	K06058	DTX		
 deltex 	2.3.2.27	K06058	DTX		
 Cys-Gly metallodipeptidase DUG1 	3.4.13.-	K15428	DUG1		
 Cys-Gly metallodipeptidase DUG1 	3.4.13.-	K15428	DUG1		
 di- and tripeptidase 	3.4.-.-	K14262	DUG2		
 glutamine amidotransferase		K18802	DUG3		
 DASH complex subunit DUO1		K11570	DUO1		
 dual oxidase 	1.6.3.1 1.11.1.-	K13411	DUOX	THOX	
 dual oxidase 	1.6.3.1 1.11.1.-	K13411	DUOX	THOX	
 dual oxidase 	1.6.3.1 1.11.1.-	K13411	DUOX	THOX	
 dual oxidase maturation factor 1		K17233	DUOXA1		
 dual oxidase maturation factor 2		K17232	DUOXA2		
 dual oxidase maturation factor 2		K17232	DUOXA2		
 urea carboxylase / allophanate hydrolase 	6.3.4.6 3.5.1.54	K14541	DUR1		
 urea carboxylase / allophanate hydrolase 	6.3.4.6 3.5.1.54	K14541	DUR1		
 urea-proton symporter		K20989	DUR3		
 tRNA-dihydrouridine synthase 1 	1.3.1.88	K05542	DUS1		
 tRNA-dihydrouridine synthase 2 	1.3.1.91	K05543	DUS2		
 tRNA-dihydrouridine synthase 3 	1.3.1.89	K05544	DUS3		
 tRNA-dihydrouridine synthase 4 	1.3.1.90	K05545	DUS4		
 tRNA-dihydrouridine synthase A 	1.-.-.-	K05539	dusA		
 tRNA-dihydrouridine synthase B 	1.-.-.-	K05540	dusB		
 tRNA-dihydrouridine synthase C 	1.-.-.-	K05541	dusC		
 dual specificity MAP kinase phosphatase 	3.1.3.16 3.1.3.48	K04459	DUSP	MKP	
 dual specificity MAP kinase phosphatase 	3.1.3.16 3.1.3.48	K04459	DUSP	MKP	
 dual specificity protein phosphatase 1 	3.1.3.16 3.1.3.48	K21278	DUSP1		
 dual specificity protein phosphatase 1 	3.1.3.16 3.1.3.48	K21278	DUSP1		
 dual specificity protein phosphatase 1 	3.1.3.16 3.1.3.48	K21278	DUSP1		
 dual specificity protein phosphatase 1 	3.1.3.16 3.1.3.48	K21278	DUSP1		
 dual specificity phosphatase 10 	3.1.3.16 3.1.3.48	K20216	DUSP10		
 dual specificity phosphatase 10 	3.1.3.16 3.1.3.48	K20216	DUSP10		
 dual specificity phosphatase 10 	3.1.3.16 3.1.3.48	K20216	DUSP10		
 dual specificity phosphatase 10 	3.1.3.16 3.1.3.48	K20216	DUSP10		
 dual specificity phosphatase 12 	3.1.3.16 3.1.3.48	K14819	DUSP12	YVH1	
 dual specificity phosphatase 12 	3.1.3.16 3.1.3.48	K14819	DUSP12	YVH1	
 dual specificity phosphatase 3 	3.1.3.16 3.1.3.48	K17614	DUSP3	VHR	
 dual specificity phosphatase 3 	3.1.3.16 3.1.3.48	K17614	DUSP3	VHR	
 dual specificity phosphatase 6 	3.1.3.16 3.1.3.48	K21946	DUSP6		
 dual specificity phosphatase 6 	3.1.3.16 3.1.3.48	K21946	DUSP6		
 dual specificity phosphatase 6 	3.1.3.16 3.1.3.48	K21946	DUSP6		
 dual specificity phosphatase 6 	3.1.3.16 3.1.3.48	K21946	DUSP6		
 dual specificity phosphatase 9 	3.1.3.16 3.1.3.48	K18498	DUSP9	MKP4	
 dual specificity phosphatase 9 	3.1.3.16 3.1.3.48	K18498	DUSP9	MKP4	
 dual specificity phosphatase 9 	3.1.3.16 3.1.3.48	K18498	DUSP9	MKP4	
 dUTP pyrophosphatase 	3.6.1.23	K01520	dut	DUT	
 dUTP pyrophosphatase 	3.6.1.23	K01520	dut	DUT	
 dUTP pyrophosphatase 	3.6.1.23	K01520	dut	DUT	
 homeobox domain-containing protein		K19774	DVE1		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 segment polarity protein dishevelled		K02353	DVL		
 divinyl chlorophyllide a 8-vinyl-reductase 	1.3.1.75	K19073	DVR		
 beta-carotene isomerase 	5.2.1.14	K17911	DWARF27		
 caffeine synthase 	2.1.1.160	K12731	DXMT		
 dibenzofuran dioxygenase subunit alpha 	1.14.12.-	K22715	dxnA1		
 dibenzofuran dioxygenase subunit beta 	1.14.12.-	K22716	dxnA2		
 2-hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate hydrolase 	3.7.1.-	K22717	dxnB		
 1-deoxy-D-xylulose-5-phosphate reductoisomerase 	1.1.1.267	K00099	dxr		
 1-deoxy-D-xylulose-5-phosphate synthase 	2.2.1.7	K01662	dxs		
 1-deoxy-D-xylulose-5-phosphate synthase 	2.2.1.7	K01662	dxs		
 dynein heavy chain 1, cytosolic		K10413	DYNC1H		
 dynein heavy chain 1, cytosolic		K10413	DYNC1H		
 dynein heavy chain 1, cytosolic		K10413	DYNC1H		
 dynein heavy chain 1, cytosolic		K10413	DYNC1H		
 dynein heavy chain 1, cytosolic		K10413	DYNC1H		
 dynein heavy chain 1, cytosolic		K10413	DYNC1H		
 dynein intermediate chain, cytosolic		K10415	DYNC1I	DNCI	
 dynein intermediate chain, cytosolic		K10415	DYNC1I	DNCI	
 dynein intermediate chain, cytosolic		K10415	DYNC1I	DNCI	
 dynein intermediate chain, cytosolic		K10415	DYNC1I	DNCI	
 dynein intermediate chain, cytosolic		K10415	DYNC1I	DNCI	
 dynein light intermediate chain 1, cytosolic		K10416	DYNC1LI	DNCLI	
 dynein light intermediate chain 1, cytosolic		K10416	DYNC1LI	DNCLI	
 dynein light intermediate chain 1, cytosolic		K10416	DYNC1LI	DNCLI	
 dynein light intermediate chain 1, cytosolic		K10416	DYNC1LI	DNCLI	
 dynein light intermediate chain 1, cytosolic		K10416	DYNC1LI	DNCLI	
 dynein light intermediate chain 1, cytosolic		K10416	DYNC1LI	DNCLI	
 dynein heavy chain 2, cytosolic		K10414	DYNC2H	DNCH2	
 dynein heavy chain 2, cytosolic		K10414	DYNC2H	DNCH2	
 dynein heavy chain 2, cytosolic		K10414	DYNC2H	DNCH2	
 dynein heavy chain 2, cytosolic		K10414	DYNC2H	DNCH2	
 dynein heavy chain 2, cytosolic		K10414	DYNC2H	DNCH2	
 dynein light intermediate chain 2, cytosolic		K10417	DYNC2LI		
 dynein light intermediate chain 2, cytosolic		K10417	DYNC2LI		
 dynein light intermediate chain 2, cytosolic		K10417	DYNC2LI		
 dynein light chain LC8-type		K10418	DYNLL		
 dynein light chain LC8-type		K10418	DYNLL		
 dynein light chain roadblock-type		K10419	DYNLRB	DNCL2	
 dynein light chain roadblock-type		K10419	DYNLRB	DNCL2	
 dynein light chain Tctex-type 1		K10420	DYNLT		
 dual specificity tyrosine-phosphorylation-regulated kinase 1 	2.7.12.1	K08825	DYRK1		
 dual specificity tyrosine-phosphorylation-regulated kinase 1 	2.7.12.1	K08825	DYRK1		
 dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 	2.7.12.1	K18669	DYRK2_3_4		
 dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4 	2.7.12.1	K18669	DYRK2_3_4		
 dysferlin		K18261	DYSF		
 dysferlin		K18261	DYSF		
 dyslexia susceptibility 1 candidate gene 1 protein		K19758	DYX1C1	DNAAF4	
 zinc finger protein DZIP1		K16470	DZIP1		
 E3 ubiquitin-protein ligase DZIP3 	2.3.2.27	K10642	DZIP3		
 E3 ubiquitin-protein ligase DZIP3 	2.3.2.27	K10642	DZIP3		
 HPV replication protein E1 	3.6.4.12	K21810	E1		
 HPV replication protein E1 	3.6.4.12	K21810	E1		
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 alcohol dehydrogenase 	1.1.1.1	K00001	E1.1.1.1	adh	
 3-dehydrosphinganine reductase 	1.1.1.102	K04708	E1.1.1.102		
 D-arabinose 1-dehydrogenase 	1.1.1.116	K00062	E1.1.1.116		
 D-threo-aldose 1-dehydrogenase 	1.1.1.122	K00064	E1.1.1.122		
 D-threo-aldose 1-dehydrogenase 	1.1.1.122	K00064	E1.1.1.122		
 ribulose-5-phosphate 2-dehydrogenase 	1.1.1.137	K21680	E1.1.1.137		
 20alpha-hydroxysteroid dehydrogenase 	1.1.1.149	K05295	E1.1.1.149		
 sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) 	1.1.1.170	K07748	E1.1.1.170	NSDHL	
 cinnamyl-alcohol dehydrogenase 	1.1.1.195	K00083	E1.1.1.195		
 aldose-6-phosphate reductase (NADPH2) 	1.1.1.200	K00085	E1.1.1.200		
 (-)-menthol dehydrogenase 	1.1.1.207	K15094	E1.1.1.207		
 (+)-neomenthol dehydrogenase 	1.1.1.208	K15095	E1.1.1.208		
 dihydroflavonol-4-reductase 	1.1.1.219	K00091	E1.1.1.219		
 isopiperitenol dehydrogenase 	1.1.1.223	K15090	E1.1.1.223		
 (-)-trans-carveol dehydrogenase 	1.1.1.243	K14730	E1.1.1.243		
 galactitol-1-phosphate 5-dehydrogenase 	1.1.1.251	K00094	E1.1.1.251	gatD	
 (+)-trans-carveol dehydrogenase 	1.1.1.275	K12466	E1.1.1.275		
 homoserine dehydrogenase 	1.1.1.3	K00003	E1.1.1.3		
 homoserine dehydrogenase 	1.1.1.3	K00003	E1.1.1.3		
 homoserine dehydrogenase 	1.1.1.3	K00003	E1.1.1.3		
 3-hydroxybutyrate dehydrogenase 	1.1.1.30	K00019	E1.1.1.30	bdh	
 3-hydroxybutyrate dehydrogenase 	1.1.1.30	K00019	E1.1.1.30	bdh	
 S-(hydroxymethyl)mycothiol dehydrogenase 	1.1.1.306	K00153	E1.1.1.306		
 L-idonate 5-dehydrogenase 	1.1.1.366	K19635	E1.1.1.366		
 UDP-N-acetylglucosamine 3-dehydrogenase 	1.1.1.374	K18855	E1.1.1.374		
 L-serine 3-dehydrogenase (NAD+) 	1.1.1.387	K19711	E1.1.1.387		
 malate dehydrogenase (decarboxylating) 	1.1.1.39	K00028	E1.1.1.39		
 malate dehydrogenase (decarboxylating) 	1.1.1.39	K00028	E1.1.1.39		
 3beta-hydroxycholanate 3-dehydrogenase (NAD+) 	1.1.1.391	K22606	E1.1.1.391		
 3beta-hydroxycholanate 3-dehydrogenase (NADP+) 	1.1.1.393	K22607	E1.1.1.393		
 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) 	1.1.1.40	K00029	E1.1.1.40	maeB	
 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) 	1.1.1.40	K00029	E1.1.1.40	maeB	
 phosphogluconate 2-dehydrogenase 	1.1.1.43	K00032	E1.1.1.43		
 phosphogluconate 2-dehydrogenase 	1.1.1.43	K00032	E1.1.1.43		
 3(or 17)beta-hydroxysteroid dehydrogenase 	1.1.1.51	K05296	E1.1.1.51		
 3(or 17)beta-hydroxysteroid dehydrogenase 	1.1.1.51	K05296	E1.1.1.51		
 3alpha-hydroxycholanate dehydrogenase (NAD+) 	1.1.1.52	K22604	E1.1.1.52		
 3alpha(or 20beta)-hydroxysteroid dehydrogenase 	1.1.1.53	K00038	E1.1.1.53		
 pyridoxine 4-dehydrogenase 	1.1.1.65	K05275	E1.1.1.65		
 mannitol 2-dehydrogenase 	1.1.1.67	K00045	E1.1.1.67	mtlK	
 malate dehydrogenase (NADP+) 	1.1.1.82	K00051	E1.1.1.82		
 malate dehydrogenase (NADP+) 	1.1.1.82	K00051	E1.1.1.82		
 D-xylulose reductase 	1.1.1.9	K05351	E1.1.1.9		
 aryl-alcohol dehydrogenase 	1.1.1.90	K00055	E1.1.1.90		
 aryl-alcohol dehydrogenase 	1.1.1.90	K00055	E1.1.1.90		
 aryl-alcohol dehydrogenase 	1.1.1.90	K00055	E1.1.1.90		
 aryl-alcohol dehydrogenase 	1.1.1.90	K00055	E1.1.1.90		
 aryl-alcohol dehydrogenase (NADP+) 	1.1.1.91	K05882	E1.1.1.91		
 alpha-glycerophosphate oxidase 	1.1.3.21	K00105	E1.1.3.21		
 D-sorbitol dehydrogenase (acceptor) 	1.1.99.21	K08261	E1.1.99.21		
 gluconate 2-dehydrogenase alpha chain 	1.1.99.3	K06151	E1.1.99.3A		
 gluconate 2-dehydrogenase gamma chain 	1.1.99.3	K06152	E1.1.99.3G		
 polyphenol oxidase 	1.10.3.1	K00422	E1.10.3.1		
 polyphenol oxidase 	1.10.3.1	K00422	E1.10.3.1		
 laccase 	1.10.3.2	K05909	E1.10.3.2		
 L-ascorbate oxidase 	1.10.3.3	K00423	E1.10.3.3		
 L-ascorbate peroxidase 	1.11.1.11	K00434	E1.11.1.11		
 L-ascorbate peroxidase 	1.11.1.11	K00434	E1.11.1.11		
 dye decolorizing peroxidase 	1.11.1.19	K15733	E1.11.1.19		NFATC
 cytochrome c peroxidase 	1.11.1.5	K00428	E1.11.1.5		NFATC
 peroxidase 	1.11.1.7	K00430	E1.11.1.7		NFATC
 ferredoxin hydrogenase 	1.12.7.2	K00532	E1.12.7.2		NFATC
 ferredoxin hydrogenase gamma subunit 	1.12.7.2	K06441	E1.12.7.2G		NFATC
 ferredoxin hydrogenase large subunit 	1.12.7.2	K00533	E1.12.7.2L		NFATC
 ferredoxin hydrogenase small subunit 	1.12.7.2	K00534	E1.12.7.2S		NFATC
 gentisate 1,2-dioxygenase 	1.13.11.4	K00450	E1.13.11.4		NFATC
 2,4'-dihydroxyacetophenone dioxygenase 	1.13.11.41	K05913	E1.13.11.41		NFATC
 linoleate 11-lipoxygenase 	1.13.11.45	K21794	E1.13.11.45		NFATC
 8'-apo-carotenoid 13,14-cleaving dioxygenase 	1.13.11.82	K21822	E1.13.11.82		NFATC
 oplophorus-luciferin 2-monooxygenase catalytic subunit 	1.13.12.13	K21823	E1.13.12.13		NFATC
 dinoflagellate luciferase 	1.13.12.18	K22500	E1.13.12.18		NFATC
 lactate 2-monooxygenase 	1.13.12.4	K00467	E1.13.12.4		NFATC
 photinus-luciferin 4-monooxygenase (ATP-hydrolysing) 	1.13.12.7	K05914	E1.13.12.7		NFATC
 gamma-butyrobetaine dioxygenase 	1.14.11.1	K00471	E1.14.11.1		NFATC
 gibberellin-44 dioxygenase 	1.14.11.12	K05282	E1.14.11.12		NFATC
 gibberellin 2beta-dioxygenase 	1.14.11.13	K04125	E1.14.11.13		NFATC
 gibberellin 3beta-dioxygenase 	1.14.11.15	K04124	E1.14.11.15		NFATC
 L-proline 4-hydroxylase 	1.14.11.57	K21615	E1.14.11.57		NFATC
 salicylate hydroxylase 	1.14.13.1	K00480	E1.14.13.1		NFATC
 salicylate hydroxylase 	1.14.13.1	K00480	E1.14.13.1		
 salicylate hydroxylase 	1.14.13.1	K00480	E1.14.13.1		
 taxoid 7beta-hydroxylase 	1.14.13.147	K21720	E1.14.13.147		
 resorcinol 4-hydroxylase (NADPH) 	1.14.13.219	K20943	E1.14.13.219		
 anthraniloyl-CoA monooxygenase 	1.14.13.40	K09461	E1.14.13.40		
 3-hydroxyphenylacetate 6-hydroxylase 	1.14.13.63	K10438	E1.14.13.63	phacB	
 phenol 2-monooxygenase 	1.14.13.7	K03380	E1.14.13.7		
 phenol 2-monooxygenase 	1.14.13.7	K03380	E1.14.13.7		
 magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase 	1.14.13.81	K04035	E1.14.13.81	acsF	
 unspecific monooxygenase 	1.14.14.1	K00493	E1.14.14.1		
 unspecific monooxygenase 	1.14.14.1	K00493	E1.14.14.1		
 unspecific monooxygenase 	1.14.14.1	K00493	E1.14.14.1		
 (+)-menthofuran synthase 	1.14.14.143	K15093	E1.14.14.143		
 (S)-limonene 7-monooxygenase 	1.14.14.52	K07382	E1.14.14.52		
 (S)-limonene 7-monooxygenase 	1.14.14.52	K07382	E1.14.14.52		
 aminocyclopropanecarboxylate oxidase 	1.14.17.4	K05933	E1.14.17.4		
 icosanoyl-CoA 5-desaturase 	1.14.19.10	K21705	E1.14.19.10		
 linoleoyl-CoA desaturase 	1.14.19.3	K00508	E1.14.19.3		
 linoleoyl-CoA desaturase 	1.14.19.3	K00508	E1.14.19.3		
 acyl-lipid delta12-acetylenase 	1.14.19.39	K08262	E1.14.19.39		
 taxadiene 5alpha-hydroxylase 	1.14.99.37	K14039	E1.14.99.37		
 lytic cellulose monooxygenase (C1-hydroxylating) 	1.14.99.54	K19356	E1.14.99.54		
 lytic starch monooxygenase 	1.14.99.55	K00516	E1.14.99.55		
 ferric-chelate reductase 	1.16.1.7	K00521	E1.16.1.7		
 ribonucleoside-diphosphate reductase alpha chain 	1.17.4.1	K00525	E1.17.4.1A	nrdA	
 ribonucleoside-diphosphate reductase alpha chain 	1.17.4.1	K00525	E1.17.4.1A	nrdA	
 ribonucleoside-diphosphate reductase alpha chain 	1.17.4.1	K00525	E1.17.4.1A	nrdA	
 ribonucleoside-diphosphate reductase beta chain 	1.17.4.1	K00526	E1.17.4.1B	nrdB	
 ribonucleoside-diphosphate reductase beta chain 	1.17.4.1	K00526	E1.17.4.1B	nrdB	
 ribonucleoside-diphosphate reductase beta chain 	1.17.4.1	K00526	E1.17.4.1B	nrdB	
 acetaldehyde dehydrogenase (acetylating) 	1.2.1.10	K00132	E1.2.1.10		
 acetaldehyde dehydrogenase (acetylating) 	1.2.1.10	K00132	E1.2.1.10		
 5-formyl-3-hydroxy-2-methylpyridine 4-carboxylic acid 5-dehydrogenase 	1.2.1.100	K18612	E1.2.1.100		
 lactaldehyde dehydrogenase 	1.2.1.22	K19266	E1.2.1.22		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 aldehyde dehydrogenase (NAD(P)+) 	1.2.1.5	K00129	E1.2.1.5		
 coniferyl-aldehyde dehydrogenase 	1.2.1.68	K00154	E1.2.1.68		
 1-pyrroline-5-carboxylate dehydrogenase 	1.2.1.88	K00294	E1.2.1.88		
 1-pyrroline-5-carboxylate dehydrogenase 	1.2.1.88	K00294	E1.2.1.88		
 pyruvate oxidase 	1.2.3.3	K00158	E1.2.3.3	poxL	
 indolepyruvate ferredoxin oxidoreductase 	1.2.7.8	K04090	E1.2.7.8		
 prephenate dehydrogenase 	1.3.1.12	K00210	E1.3.1.12		
 prephenate dehydrogenase 	1.3.1.12	K00210	E1.3.1.12		
 maleylacetate reductase 	1.3.1.32	K00217	E1.3.1.32		
 maleylacetate reductase 	1.3.1.32	K00217	E1.3.1.32		
 maleylacetate reductase 	1.3.1.32	K00217	E1.3.1.32		
 maleylacetate reductase 	1.3.1.32	K00217	E1.3.1.32		
